Observer: RMA
     lat: 50:50:38.5
     lon: 4:23:34.5
    date: 2016/01/05  cutoff:  0

      |#Vis|  GSAT0101 (  GSAT0102 (  GSAT0103 (  GSAT0104 (  GSAT0201 (  GSAT0202 (  GSAT0203 (  GSAT0204 (  GSAT 0205   GSAT 0206 
                PRN E11)    PRN E12)    PRN E19)    PRN E20)    PRN E18)    PRN E14)    PRN E26)    PRN E22)   (PRN E24)   (PRN E30)

00:00 |  2 |  ---- -----  ---- -----  ---- -----  ---- -----  ---- -----  ---- -----  67.9  93.8  ---- -----   9.8 309.7  ---- -----
00:20 |  4 |  ---- -----   3.6 218.0  ---- -----  ---- -----  ---- -----   2.6 236.4  64.6  77.3  ---- -----  16.1 311.5  ---- -----
00:40 |  4 |  ---- -----  10.0 220.9  ---- -----  ---- -----  ---- -----  11.4 239.3  59.3  67.2  ---- -----  22.6 312.3  ---- -----
01:00 |  4 |  ---- -----  16.6 224.4  ---- -----  ---- -----  ---- -----  21.2 242.4  53.0  61.9  ---- -----  29.1 312.1  ---- -----
01:20 |  4 |  ---- -----  23.3 228.4  ---- -----  ---- -----  ---- -----  32.1 245.8  46.4  59.9  ---- -----  35.6 310.3  ---- -----
01:40 |  4 |  ---- -----  29.9 232.8  ---- -----  ---- -----  ---- -----  43.9 249.4  39.7  59.8  ---- -----  41.7 306.7  ---- -----
02:00 |  4 |  ---- -----  36.7 237.7  ---- -----  ---- -----  ---- -----  56.4 252.9  33.1  61.2  ---- -----  47.0 300.5  ---- -----
02:20 |  5 |  ---- -----  43.4 243.1  ---- -----   5.3 108.3  ---- -----  69.2 255.9  26.7  63.5  ---- -----  51.1 291.5  ---- -----
02:40 |  6 |   4.6 247.6  50.1 249.0  ---- -----  11.0 103.8  ---- -----  81.9 255.5  20.5  66.5  ---- -----  53.2 279.9  ---- -----
03:00 |  7 |  10.2 252.1  56.7 255.7   1.7 139.2  16.5  98.8  ---- -----  85.8 103.1  14.5  69.9  ---- -----  52.9 267.1  ---- -----
03:20 |  7 |  15.9 256.9  63.3 263.4   7.7 135.9  21.5  93.1  ---- -----  74.7  96.4   8.8  73.8  ---- -----  50.1 255.3  ---- -----
03:40 |  7 |  21.7 261.9  69.7 272.9  14.1 132.6  25.8  86.7  ---- -----  64.5  99.2   3.4  78.0  ---- -----  45.5 245.5  ---- -----
04:00 |  6 |  27.6 266.9  76.0 286.3  20.7 128.9  29.1  79.3  ---- -----  55.4 103.0  ---- -----  ---- -----  39.5 238.1  ---- -----
04:20 |  6 |  33.6 272.0  81.6 311.2  27.3 124.5  31.0  71.4  ---- -----  47.3 107.1  ---- -----  ---- -----  32.8 232.5  ---- -----
04:40 |  6 |  39.7 277.1  84.1   8.4  33.5 119.2  31.3  63.4  ---- -----  39.9 111.2  ---- -----  ---- -----  25.8 228.1  ---- -----
