Observer: RMA
     lat: 50:50:38.5
     lon: 4:23:34.5
    date: 2016/01/08  cutoff:  0

      |#Vis|  GSAT0101 (  GSAT0102 (  GSAT0103 (  GSAT0104 (  GSAT0201 (  GSAT0202 (  GSAT0203 (  GSAT0204 (  GSAT 0205   GSAT 0206 
                PRN E11)    PRN E12)    PRN E19)    PRN E20)    PRN E18)    PRN E14)    PRN E26)    PRN E22)   (PRN E24)   (PRN E30)

12:20 |  3 |  ---- -----  ---- -----  ---- -----  ---- -----  ---- -----   6.9 224.4  ---- -----  14.3 205.8  36.8  81.1  ---- -----
12:40 |  3 |  ---- -----  ---- -----  ---- -----  ---- -----  ---- -----   2.2 222.1  ---- -----   7.4 203.6  38.2  71.9  ---- -----
13:00 |  3 |  ---- -----  ---- -----  ---- -----  ---- -----  ---- -----  ---- -----   3.8 344.0   1.2 201.3  37.7  62.8  ---- -----
13:20 |  2 |  ---- -----  ---- -----  ---- -----  ---- -----  ---- -----  ---- -----   7.5 339.4  ---- -----  35.5  54.6  ---- -----
13:40 |  2 |  ---- -----  ---- -----  ---- -----  ---- -----  ---- -----  ---- -----  10.2 334.1  ---- -----  31.7  47.8  ---- -----
14:00 |  2 |  ---- -----  ---- -----  ---- -----  ---- -----  ---- -----  ---- -----  11.9 328.2  ---- -----  26.8  42.8  ---- -----
14:20 |  2 |  ---- -----  ---- -----  ---- -----  ---- -----  ---- -----  ---- -----  12.3 321.9  ---- -----  21.2  39.4  ---- -----
14:40 |  3 |  ---- -----  ---- -----  ---- -----  ---- -----  ---- -----  ---- -----  11.4 315.5  ---- -----  15.2  37.4   2.3 199.9
15:00 |  3 |  ---- -----  ---- -----  ---- -----  ---- -----  ---- -----  ---- -----   9.4 309.2  ---- -----   9.0  36.6   9.1 201.5
15:20 |  3 |  ---- -----  ---- -----  ---- -----  ---- -----  ---- -----  ---- -----   6.3 303.4  ---- -----   2.8  36.9  16.3 203.7
15:40 |  2 |  ---- -----  ---- -----  ---- -----  ---- -----  ---- -----  ---- -----   2.5 298.0  ---- -----  ---- -----  23.6 206.4
16:00 |  2 |  ---- -----   1.1  25.3  ---- -----  ---- -----  ---- -----  ---- -----  ---- -----  ---- -----  ---- -----  31.1 209.6
16:20 |  2 |  ---- -----   3.3  19.7  ---- -----  ---- -----  ---- -----  ---- -----  ---- -----  ---- -----  ---- -----  38.7 213.3
16:40 |  4 |   1.0  56.3   4.6  13.9  ---- -----   2.1 316.5  ---- -----  ---- -----  ---- -----  ---- -----  ---- -----  46.3 217.7
17:00 |  4 |   4.6  51.0   4.6   7.9  ---- -----   8.1 317.3  ---- -----  ---- -----  ---- -----  ---- -----  ---- -----  54.0 222.7
17:20 |  4 |   7.6  45.2   3.5   2.1  ---- -----  14.2 317.2  ---- -----  ---- -----  ---- -----  ---- -----  ---- -----  61.6 228.8
17:40 |  4 |   9.5  39.1   1.4 356.7  ---- -----  20.3 316.1  ---- -----  ---- -----  ---- -----  ---- -----  ---- -----  69.0 236.6
18:00 |  3 |  10.3  32.8  ---- -----  ---- -----  26.1 313.6  ---- -----  ---- -----  ---- -----  ---- -----  ---- -----  76.2 248.1
18:20 |  5 |   9.9  26.6  ---- -----  ---- -----  31.4 309.6  ---- -----   3.1 159.8  ---- -----   0.9 128.7  ---- -----  82.7 273.0
18:40 |  6 |   8.2  20.8  ---- -----   1.3 332.0  35.8 303.8  ---- -----  10.0 155.1  ---- -----   6.7 125.0  ---- -----  85.1 347.0
19:00 |  6 |   5.4  15.5  ---- -----   6.8 330.2  39.0 296.4  ---- -----  17.7 149.5  ---- -----  12.9 121.1  ---- -----  80.2  35.1
19:20 |  6 |   1.8  11.0  ---- -----  12.1 327.5  40.5 287.6  ---- -----  25.8 142.4  ---- -----  19.2 116.8  ---- -----  73.9  52.2
19:40 |  5 |  ---- -----  ---- -----  16.8 323.6  40.3 278.2  ---- -----  33.8 132.9  ---- -----  25.2 111.9  ---- -----  67.4  62.7
20:00 |  5 |  ---- -----  ---- -----  20.7 318.6  38.2 269.0  ---- -----  40.3 120.0  ---- -----  30.8 105.9  ---- -----  61.0  71.0
20:20 |  5 |  ---- -----  ---- -----  23.5 312.5  34.5 260.9  ---- -----  44.0 103.7  ---- -----  35.5  98.8  ---- -----  54.7  78.3
20:40 |  5 |  ---- -----  ---- -----  24.9 305.6  29.7 253.9  ---- -----  43.5  86.4  ---- -----  39.0  90.4  ---- -----  48.4  85.1
21:00 |  5 |  ---- -----  ---- -----  24.9 298.2  24.2 248.1  ---- -----  39.0  71.7  ---- -----  41.0  81.1  ---- -----  42.3  91.6
21:20 |  5 |  ---- -----  ---- -----  23.5 290.9  18.2 243.1  ---- -----  32.1  61.3  ---- -----  41.0  71.6  ---- -----  36.2  97.7
21:40 |  5 |  ---- -----  ---- -----  20.7 283.9  12.0 238.9  ---- -----  24.2  54.7  ---- -----  39.3  62.8  ---- -----  30.1 103.6
22:00 |  5 |  ---- -----  ---- -----  16.9 277.6   5.9 235.0  ---- -----  16.2  51.1  ---- -----  35.9  55.4  ---- -----  24.1 109.1
22:20 |  5 |  ---- -----  ---- -----  12.3 271.9   0.2 231.3  ---- -----   8.5  49.4  ---- -----  31.3  49.9  ---- -----  18.0 114.4
22:40 |  4 |  ---- -----  ---- -----   7.3 266.8  ---- -----  ---- -----   1.6  49.1  ---- -----  26.0  46.0  ---- -----  12.0 119.2
23:00 |  4 |  ---- -----  ---- -----   2.0 262.1  ---- -----  ---- -----  ---- -----   0.4 205.9  20.1  43.7  ---- -----   6.0 123.8
23:20 |  3 |  ---- -----  ---- -----  ---- -----  ---- -----  ---- -----  ---- -----   6.7 207.6  14.0  42.7  ---- -----   0.4 127.9
23:40 |  2 |  ---- -----  ---- -----  ---- -----  ---- -----  ---- -----  ---- -----  13.5 209.8   7.8  42.8  ---- -----  ---- -----
