Observer: RMA
     lat: 50:50:38.5
     lon: 4:23:34.5
    date: 2016/01/12  cutoff:  0

      |#Vis|  GSAT0101 (  GSAT0102 (  GSAT0103 (  GSAT0104 (  GSAT0201 (  GSAT0202 (  GSAT0203 (  GSAT0204 (  GSAT 0205   GSAT 0206 
                PRN E11)    PRN E12)    PRN E19)    PRN E20)    PRN E18)    PRN E14)    PRN E26)    PRN E22)   (PRN E24)   (PRN E30)

00:00 |  1 |  ---- -----  ---- -----  ---- -----  ---- -----  ---- -----  ---- -----  64.2 190.6  ---- -----  ---- -----  ---- -----
00:20 |  1 |  ---- -----  ---- -----  ---- -----  ---- -----  ---- -----  ---- -----  72.2 187.4  ---- -----  ---- -----  ---- -----
00:40 |  2 |  ---- -----  ---- -----  ---- -----  ---- -----  ---- -----   1.5 246.3  79.5 175.0  ---- -----  ---- -----  ---- -----
01:00 |  3 |  ---- -----  ---- -----  ---- -----  ---- -----  ---- -----  10.2 249.7  83.7 128.8  ---- -----   1.8 323.3  ---- -----
01:20 |  3 |  ---- -----  ---- -----  ---- -----  ---- -----  ---- -----  20.0 253.3  80.1  79.7  ---- -----   7.9 323.7  ---- -----
01:40 |  4 |  ---- -----   1.0 240.8  ---- -----  ---- -----  ---- -----  30.8 257.1  73.5  66.8  ---- -----  14.1 323.0  ---- -----
02:00 |  4 |  ---- -----   6.5 245.1  ---- -----  ---- -----  ---- -----  42.5 261.0  66.4  64.5  ---- -----  20.2 321.2  ---- -----
02:20 |  5 |  ---- -----  12.2 249.6  ---- -----   0.3 137.4  ---- -----  54.8 264.7  59.4  65.7  ---- -----  25.9 318.0  ---- -----
02:40 |  5 |  ---- -----  18.0 254.4  ---- -----   6.0 134.0  ---- -----  67.3 267.7  52.6  68.5  ---- -----  30.8 313.2  ---- -----
03:00 |  5 |  ---- -----  23.9 259.4  ---- -----  12.3 130.5  ---- -----  79.7 267.5  46.0  72.1  ---- -----  34.8 306.7  ---- -----
03:20 |  5 |  ---- -----  29.9 264.5  ---- -----  18.8 126.7  ---- -----  87.8 145.0  39.6  76.3  ---- -----  37.2 298.7  ---- -----
03:40 |  6 |  ---- -----  35.9 269.8   3.2 161.0  25.3 122.4  ---- -----  77.3 112.2  33.5  80.7  ---- -----  37.9 289.7  ---- -----
04:00 |  6 |  ---- -----  42.0 275.1   9.7 158.9  31.4 117.2  ---- -----  67.4 113.6  27.5  85.4  ---- -----  36.8 280.5  ---- -----
04:20 |  7 |   3.4 274.7  48.3 280.3  16.7 157.0  37.0 110.7  ---- -----  58.4 116.8  21.6  90.2  ---- -----  33.9 271.9  ---- -----
04:40 |  7 |   8.7 279.2  54.7 285.5  24.0 154.9  41.7 102.7  ---- -----  50.2 120.4  15.9  95.0  ---- -----  29.7 264.4  ---- -----
