Observer: RMA
     lat: 50:50:38.5
     lon: 4:23:34.5
    date: 2016/01/04  cutoff:  0

      |#Vis|  GSAT0101 (  GSAT0102 (  GSAT0103 (  GSAT0104 (  GSAT0201 (  GSAT0202 (  GSAT0203 (  GSAT0204 (  GSAT 0205   GSAT 0206 
                PRN E11)    PRN E12)    PRN E19)    PRN E20)    PRN E18)    PRN E14)    PRN E26)    PRN E22)   (PRN E24)   (PRN E30)

00:00 |  4 |  63.8 173.2  52.5  64.4  ---- -----  ---- -----  ---- -----  68.8 195.4  ---- -----  ---- -----  41.8 136.8  ---- -----
00:20 |  5 |  71.3 165.0  46.7  58.9  ---- -----   0.1  29.9  ---- -----  78.5 160.6  ---- -----  ---- -----  34.5 141.5  ---- -----
00:40 |  5 |  77.1 145.1  40.3  56.1  ---- -----   2.5  24.5  ---- -----  75.8 101.0  ---- -----  ---- -----  27.2 145.5  ---- -----
01:00 |  7 |  78.7 108.4  33.8  55.2   0.2  60.0   4.1  18.7  ---- -----  65.6  81.4  ---- -----  ---- -----  20.0 149.0   0.5 319.2
01:20 |  7 |  75.0  79.6  27.2  55.8   3.9  54.8   4.6  12.8  ---- -----  55.0  76.9  ---- -----  ---- -----  12.9 151.9   6.5 320.3
01:40 |  7 |  68.7  67.6  20.8  57.3   7.1  49.1   4.0   6.9  ---- -----  45.2  76.9  ---- -----  ---- -----   6.0 154.3  12.8 320.6
02:00 |  7 |  61.8  63.7  14.6  59.7   9.4  43.1   2.2   1.4  ---- -----  36.5  78.7  ---- -----   4.0 237.8  ---- -----  19.1 319.8
02:20 |  6 |  54.9  63.4   8.7  62.7  10.6  36.8  ---- -----  ---- -----  28.7  81.4  ---- -----   9.8 242.0  ---- -----  25.2 317.7
02:40 |  6 |  48.1  65.1   3.0  66.2  10.5  30.6  ---- -----  ---- -----  21.9  84.6  ---- -----  15.7 246.5  ---- -----  30.8 314.0
03:00 |  5 |  41.4  67.9  ---- -----   9.2  24.6  ---- -----  ---- -----  15.8  88.2  ---- -----  21.7 251.3  ---- -----  35.7 308.5
03:20 |  5 |  35.0  71.4  ---- -----   6.7  19.2  ---- -----  ---- -----  10.3  91.9  ---- -----  27.7 256.4  ---- -----  39.3 301.2
03:40 |  5 |  28.9  75.3  ---- -----   3.3  14.5  ---- -----  ---- -----   5.4  95.7  ---- -----  33.8 261.6  ---- -----  41.3 292.2
04:00 |  4 |  22.9  79.6  ---- -----  ---- -----  ---- -----  ---- -----   1.0  99.6  ---- -----  39.9 267.0  ---- -----  41.4 282.4
04:20 |  3 |  17.1  84.2  ---- -----  ---- -----  ---- -----  ---- -----  ---- -----  ---- -----  46.1 272.6  ---- -----  39.6 272.8
04:40 |  3 |  11.5  88.8  ---- -----  ---- -----  ---- -----  ---- -----  ---- -----  ---- -----  52.5 278.2  ---- -----  36.0 264.1
