Observer: RMA
     lat: 50:50:38.5
     lon: 4:23:34.5
    date: 2016/01/06  cutoff:  0

      |#Vis|  GSAT0101 (  GSAT0102 (  GSAT0103 (  GSAT0104 (  GSAT0201 (  GSAT0202 (  GSAT0203 (  GSAT0204 (  GSAT 0205   GSAT 0206 
                PRN E11)    PRN E12)    PRN E19)    PRN E20)    PRN E18)    PRN E14)    PRN E26)    PRN E22)   (PRN E24)   (PRN E30)

00:00 |  2 |  ---- -----  ---- -----  ---- -----  ---- -----  ---- -----  ---- -----  ---- -----  42.8  57.1  ---- -----  28.8 137.1
00:20 |  2 |  ---- -----  ---- -----  ---- -----  ---- -----  ---- -----  ---- -----  ---- -----  36.5  54.5  ---- -----  21.7 141.2
00:40 |  2 |  ---- -----  ---- -----  ---- -----  ---- -----  ---- -----  ---- -----  ---- -----  30.1  53.6  ---- -----  14.8 144.8
01:00 |  2 |  ---- -----  ---- -----  ---- -----  ---- -----  ---- -----  ---- -----  ---- -----  23.6  54.0  ---- -----   8.0 147.8
01:20 |  3 |  ---- -----  ---- -----  ---- -----  ---- -----  ---- -----  ---- -----   5.7 230.9  17.3  55.5  ---- -----   1.5 150.3
01:40 |  2 |  ---- -----  ---- -----  ---- -----  ---- -----  ---- -----  ---- -----  11.8 234.8  11.1  57.7  ---- -----  ---- -----
02:00 |  2 |  ---- -----  ---- -----  ---- -----  ---- -----  ---- -----  ---- -----  18.0 239.1   5.2  60.5  ---- -----  ---- -----
02:20 |  1 |  ---- -----  ---- -----  ---- -----  ---- -----  ---- -----  ---- -----  24.2 243.7  ---- -----  ---- -----  ---- -----
02:40 |  1 |  ---- -----  ---- -----  ---- -----  ---- -----  ---- -----  ---- -----  30.4 248.7  ---- -----  ---- -----  ---- -----
03:00 |  2 |  ---- -----  ---- -----  ---- -----  ---- -----  ---- -----   6.1 269.1  36.7 254.1  ---- -----  ---- -----  ---- -----
03:20 |  2 |  ---- -----  ---- -----  ---- -----  ---- -----  ---- -----  16.0 272.7  43.0 259.7  ---- -----  ---- -----  ---- -----
03:40 |  2 |  ---- -----  ---- -----  ---- -----  ---- -----  ---- -----  26.7 276.1  49.3 265.7  ---- -----  ---- -----  ---- -----
04:00 |  2 |  ---- -----  ---- -----  ---- -----  ---- -----  ---- -----  38.2 278.9  55.6 272.1  ---- -----  ---- -----  ---- -----
04:20 |  2 |  ---- -----  ---- -----  ---- -----  ---- -----  ---- -----  50.2 280.6  62.1 279.0  ---- -----  ---- -----  ---- -----
04:40 |  2 |  ---- -----  ---- -----  ---- -----  ---- -----  ---- -----  62.1 279.9  68.5 286.8  ---- -----  ---- -----  ---- -----
05:00 |  3 |  ---- -----  ---- -----  ---- -----  ---- -----  ---- -----  73.3 272.1  75.0 296.7  ---- -----   4.3 346.0  ---- -----
